playerID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,classification
tayloto02,Player,2195,0.2613,75,598,1005,2007,1548,298,86,234,0.32080856123662305,0.3518,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2031,4241,4696,1072,NULL,NULL,NULL,NULL,2,NULL,NULL,N
tovarce01,Player,1488,0.2776,46,435,834,1546,1192,253,55,226,0.33535386631716907,0.3676,1,0,0,NULL,0.0000,0,0,0,1.0000,1,1467,2686,1043,174,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
chandha99,Pioneer/Executive,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
jackstr01,Player,1656,0.2905,135,929,833,1768,1256,291,86,71,0.3365089121081746,0.4331,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1635,3174,5178,857,NULL,NULL,NULL,NULL,1,12,NULL,Y
robinbr01,Player,2896,0.2673,268,1357,1232,2848,2030,482,68,28,0.3219758582313158,0.4008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2900,2712,6220,621,NULL,NULL,NULL,NULL,18,32,NULL,Y
maricju01,Player,475,0.1654,4,75,73,202,167,29,2,2,0.19085173501577288,0.2023,471,243,142,0.6312,2.8894,244,52,2,3507.3332,2303,471,291,577,27,NULL,NULL,NULL,NULL,10,5,NULL,Y
torrejo01,Player,2209,0.2974,252,1185,996,2342,1687,344,59,23,0.364815657715066,0.4521,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2207,11618,1731,735,4329,2326,1997,2.5517,9,9,3,N
allendi01,Player,1749,0.2919,351,1119,1099,1848,1098,320,79,133,0.378067169294037,0.5336,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1722,7658,1711,756,NULL,NULL,NULL,NULL,7,5,NULL,N
powelbo01,Player,2042,0.2658,339,1187,889,1776,1156,270,11,20,0.3605293588590518,0.4618,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1910,12796,880,1133,NULL,NULL,NULL,NULL,4,5,NULL,N
sadecra01,Player,587,0.1914,5,56,59,151,121,21,4,0,0.21882640586797067,0.2471,563,135,131,0.5075,3.7826,85,20,7,2500.6666,1614,563,62,312,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
giustda01,Player,686,0.1869,4,46,29,77,61,10,2,0,0.23515981735159816,0.2500,668,100,93,0.5181,3.6017,35,9,145,1716.6668,1103,668,134,264,11,NULL,NULL,NULL,NULL,1,1,NULL,N
helmsto01,Player,1435,0.2686,34,477,414,1342,1064,223,21,33,0.30047303689687793,0.3420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1346,2909,3624,859,64,28,36,3.5000,2,4,NULL,N
millafe01,Player,1480,0.2792,22,403,699,1617,1328,229,38,67,0.32205029013539654,0.3433,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1452,3498,3846,856,NULL,NULL,NULL,NULL,3,2,NULL,N
cuellmi01,Player,456,0.1150,7,33,37,76,57,8,4,0,0.1277860326894502,0.1710,453,185,130,0.5873,3.1378,172,36,11,2807.9999,1632,453,108,453,33,NULL,NULL,NULL,NULL,4,3,NULL,N
dierkla01,Player,357,0.1356,4,46,38,107,89,14,0,0,0.1488833746898263,0.1686,356,139,123,0.5305,3.3051,106,25,1,2333.6668,1493,356,152,287,16,783,435,348,1.5000,2,NULL,1,N
dobsopa01,Player,414,0.1230,0,12,13,39,35,4,0,0,0.15501519756838905,0.1356,414,122,129,0.4861,3.5358,74,14,19,2120.3332,1301,414,142,289,14,NULL,NULL,NULL,NULL,1,NULL,NULL,N
downial01,Player,409,0.1269,2,51,36,91,74,12,3,0,0.1693121693121693,0.1604,405,123,107,0.5348,3.2178,73,24,3,2268.3334,1639,405,72,368,23,NULL,NULL,NULL,NULL,1,NULL,NULL,N
hoernjo01,Player,493,0.1017,1,3,2,6,4,1,0,0,0.13114754098360656,0.1695,493,39,34,0.5342,2.9911,0,0,99,562.6667,412,493,19,57,1,NULL,NULL,NULL,NULL,1,NULL,NULL,N
hundlra01,Player,1061,0.2362,82,381,311,813,600,118,13,12,0.2922994937383427,0.3495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1026,5765,493,65,NULL,NULL,NULL,NULL,1,1,NULL,N
mayca01,Player,1165,0.2735,90,536,545,1127,842,172,23,85,0.3570822731128075,0.3920,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,888,2920,193,157,NULL,NULL,NULL,NULL,2,NULL,NULL,N
