playerID,feature1,feature2,classification
coombja01,2.4130,0.2674,N
coopewi01,2.3551,0.2131,N
covelst01,2.3459,0.1552,N
fitzsfr01,2.2515,0.2183,N
haineje01,2.0071,0.1357,N
hoopeha01,3.8047,0.6189,N
kellyge01,3.6948,0.5049,N
quinnja01,1.7497,0.1167,N
schacal01,0.9623,0.1698,N
cadorle01,2.2902,0.1451,N
derripa01,2.1762,0.1209,N
ferrewe01,2.1460,0.3193,N
fonsele01,3.6329,0.5528,N
hallabi01,1.6982,0.1311,N
kremera01,2.2233,0.1845,N
mulcahu01,1.7399,0.1076,N
mungova01,1.9195,0.1366,N
oeschjo01,1.6366,0.0929,N
ricesa01,3.8557,0.6298,N
schumha02,1.9911,0.2222,N
sherdbi01,1.7486,0.1749,N
shockur01,1.9369,0.2160,N
smithsh01,1.8609,0.1549,N
foxxji01,3.5106,0.7557,N
deandi01,2.2062,0.2338,N
foxxji01,3.5106,0.7557,N
deandi01,2.2062,0.2338,N
vanceda01,2.1968,0.1538,N
lyonste01,2.2170,0.2298,N
ruffire01,2.1961,0.2347,N
gomezle01,2.4565,0.1603,N
martipe01,3.4626,0.6341,N
vanceda01,2.1968,0.1538,N
lyonste01,2.2170,0.2298,N
grimebu01,2.4288,0.2484,N
dykesji01,3.5259,0.4855,N
hoytwa01,1.9095,0.1424,N
faberre01,1.8940,0.1463,N
adamsba01,2.1141,0.1639,N
coopewi01,2.3551,0.2131,N
hardeme01,2.0599,0.1524,N
marquru01,2.0653,0.1175,N
odoulle01,3.3649,0.6433,N
rixeyep01,2.1931,0.1369,N
ruffire01,2.1961,0.2347,N
covelst01,2.3459,0.1552,N
ricesa01,3.8557,0.6298,N
bendech01,2.2623,0.2012,N
earnsge01,2.2069,0.1912,N
fitzsfr01,2.2515,0.2183,N
gelbech01,3.2751,0.4543,N
haineje01,2.0071,0.1357,N
lucasre01,1.5865,0.1709,N
rommeed01,1.6292,0.1578,N
shockur01,1.9369,0.2160,N
warnelo01,2.0959,0.1895,N
chapmbe01,3.7729,0.6663,N
ehmkeho01,2.3520,0.1655,N
ferrewe01,2.1460,0.3193,N
kellyge01,3.6948,0.5049,N
kerrdi01,1.9231,0.2797,N
nehfar01,1.9720,0.1940,N
pruethu01,1.0047,0.0427,N
ringji01,2.0895,0.1509,N
rootch01,1.7184,0.1361,N
sherdbi01,1.7486,0.1749,N
toneyfr01,2.2143,0.1190,N
brownmo01,2.3185,0.1886,Y
nichoki01,3.2142,0.4206,Y
foxxji01,3.5106,0.7557,N
deandi01,2.2062,0.2338,N
vanceda01,2.1968,0.1538,N
lyonste01,2.2170,0.2298,N
gomezle01,2.4565,0.1603,N
ruffire01,2.1961,0.2347,N
haineje01,2.0071,0.1357,N
hoytwa01,1.9095,0.1424,N
faberre01,1.8940,0.1463,N
odoulle01,3.3649,0.6433,N
martipe01,3.4626,0.6341,N
adamsba01,2.1141,0.1639,N
bendech01,2.2623,0.2012,N
grimebu01,2.4288,0.2484,N
rixeyep01,2.1931,0.1369,N
waltebu01,2.7497,0.3175,N
chandsp01,2.5972,0.2512,N
dykesji01,3.5259,0.4855,N
earnsge01,2.2069,0.1912,N
fonsele01,3.6329,0.5528,N
hardeme01,2.0599,0.1524,N
hoopeha01,3.8047,0.6189,N
nehfar01,1.9720,0.1940,N
covelst01,2.3459,0.1552,N
derripa01,2.1762,0.1209,N
fitzsfr01,2.2515,0.2183,N
gelbech01,3.2751,0.4543,N
lucasre01,1.5865,0.1709,N
luquedo01,1.8658,0.1717,N
marbefi01,1.2123,0.1089,N
moorete01,3.6210,0.5539,N
pruethu01,1.0047,0.0427,N
ricesa01,3.8557,0.6298,N
rommeed01,1.6292,0.1578,N
rootch01,1.7184,0.1361,N
sherdbi01,1.7486,0.1749,N
woodjo02,2.8046,0.3822,N
foxxji01,3.5106,0.7557,Y
deandi01,2.2062,0.2338,N
lyonste01,2.2170,0.2298,N
vanceda01,2.1968,0.1538,N
bendech01,2.2623,0.2012,N
gomezle01,2.4565,0.1603,N
martipe01,3.4626,0.6341,N
hoytwa01,1.9095,0.1424,N
odoulle01,3.3649,0.6433,N
adamsba01,2.1141,0.1639,N
ruffire01,2.1961,0.2347,N
faberre01,1.8940,0.1463,N
grimebu01,2.4288,0.2484,N
rixeyep01,2.1931,0.1369,N
woodjo02,2.8046,0.3822,N
nehfar01,1.9720,0.1940,N
schacal01,0.9623,0.1698,N
dykesji01,3.5259,0.4855,N
hoopeha01,3.8047,0.6189,N
kerrdi01,1.9231,0.2797,N
marquru01,2.0653,0.1175,N
lewisdu01,3.6676,0.4195,N
chandsp01,2.5972,0.2512,N
coombja01,2.4130,0.2674,N
coopewi01,2.3551,0.2131,N
derripa01,2.1762,0.1209,N
ehmkeho01,2.3520,0.1655,N
gelbech01,3.2751,0.4543,N
hardeme01,2.0599,0.1524,N
paigesa01,0.6927,0.0112,N
pruethu01,1.0047,0.0427,N
ricesa01,3.8557,0.6298,N
rommeed01,1.6292,0.1578,N
rudoldi01,2.4577,0.1620,N
sherdbi01,1.7486,0.1749,N
deandi01,2.2062,0.2338,N
vanceda01,2.1968,0.1538,N
lyonste01,2.2170,0.2298,N
bendech01,2.2623,0.2012,N
martipe01,3.4626,0.6341,N
gomezle01,2.4565,0.1603,N
odoulle01,3.3649,0.6433,N
hoytwa01,1.9095,0.1424,N
lewisdu01,3.6676,0.4195,N
hardeme01,2.0599,0.1524,N
ruffire01,2.1961,0.2347,N
adamsba01,2.1141,0.1639,N
faberre01,1.8940,0.1463,N
grimebu01,2.4288,0.2484,N
kerrdi01,1.9231,0.2797,N
marquru01,2.0653,0.1175,N
dykesji01,3.5259,0.4855,N
nehfar01,1.9720,0.1940,N
rixeyep01,2.1931,0.1369,N
waltebu01,2.7497,0.3175,N
coopewi01,2.3551,0.2131,N
rommeed01,1.6292,0.1578,N
chapmbe01,3.7729,0.6663,N
ehmkeho01,2.3520,0.1655,N
luquedo01,1.8658,0.1717,N
pruethu01,1.0047,0.0427,N
ricesa01,3.8557,0.6298,N
deandi01,2.2062,0.2338,Y
vanceda01,2.1968,0.1538,N
lyonste01,2.2170,0.2298,N
bendech01,2.2623,0.2012,N
martipe01,3.4626,0.6341,N
gomezle01,2.4565,0.1603,N
ruffire01,2.1961,0.2347,N
lewisdu01,3.6676,0.4195,N
marquru01,2.0653,0.1175,N
adamsba01,2.1141,0.1639,N
hoytwa01,1.9095,0.1424,N
kerrdi01,1.9231,0.2797,N
odoulle01,3.3649,0.6433,N
waltebu01,2.7497,0.3175,N
coopewi01,2.3551,0.2131,N
faberre01,1.8940,0.1463,N
grimebu01,2.4288,0.2484,N
hardeme01,2.0599,0.1524,N
dykesji01,3.5259,0.4855,N
haineje01,2.0071,0.1357,N
nehfar01,1.9720,0.1940,N
ehmkeho01,2.3520,0.1655,N
ricesa01,3.8557,0.6298,N
rixeyep01,2.1931,0.1369,N
altroni01,2.3913,0.2261,N
luquedo01,1.8658,0.1717,N
moorete01,3.6210,0.5539,N
pruethu01,1.0047,0.0427,N
rommeed01,1.6292,0.1578,N
schaege01,3.2904,0.4322,N
sherdbi01,1.7486,0.1749,N
bendech01,2.2623,0.2012,Y
wallabo01,3.6164,0.4436,Y
wrighha01,4.5333,1.0167,Y
lyonste01,2.2170,0.2298,N
vanceda01,2.1968,0.1538,N
gomezle01,2.4565,0.1603,N
ruffire01,2.1961,0.2347,N
lewisdu01,3.6676,0.4195,N
marquru01,2.0653,0.1175,N
hoytwa01,1.9095,0.1424,N
adamsba01,2.1141,0.1639,N
kerrdi01,1.9231,0.2797,N
faberre01,1.8940,0.1463,N
ricesa01,3.8557,0.6298,N
coopewi01,2.3551,0.2131,N
nehfar01,1.9720,0.1940,N
haineje01,2.0071,0.1357,N
rixeyep01,2.1931,0.1369,N
ehmkeho01,2.3520,0.1655,N
altroni01,2.3913,0.2261,N
lyonste01,2.2170,0.2298,Y
vanceda01,2.1968,0.1538,Y
gomezle01,2.4565,0.1603,N
ruffire01,2.1961,0.2347,N
marquru01,2.0653,0.1175,N
lewisdu01,3.6676,0.4195,N
hoytwa01,1.9095,0.1424,N
ricesa01,3.8557,0.6298,N
faberre01,1.8940,0.1463,N
kerrdi01,1.9231,0.2797,N
adamsba01,2.1141,0.1639,N
coopewi01,2.3551,0.2131,N
haineje01,2.0071,0.1357,N
rixeyep01,2.1931,0.1369,N
nehfar01,1.9720,0.1940,N
grimebu01,2.4288,0.2484,N
earnsge01,2.2069,0.1912,N
allenjo02,1.9616,0.2247,N
derripa01,2.1762,0.1209,N
dykesji01,3.5259,0.4855,N
jonessa01,1.7433,0.2118,N
schumha02,1.9911,0.2222,N
sherdbi01,1.7486,0.1749,N
ruffire01,2.1961,0.2347,N
gomezle01,2.4565,0.1603,N
ricesa01,3.8557,0.6298,N
hoytwa01,1.9095,0.1424,N
faberre01,1.8940,0.1463,N
rixeyep01,2.1931,0.1369,N
grimebu01,2.4288,0.2484,N
haineje01,2.0071,0.1357,N
derripa01,2.1762,0.1209,N
ehmkeho01,2.3520,0.1655,N
ferrewe01,2.1460,0.3193,N
martipe01,3.4626,0.6341,N
odoulle01,3.3649,0.6433,N
waltebu01,2.7497,0.3175,N
cramedo01,4.0822,0.6061,N
bridgto01,2.3656,0.1958,N
earnsge01,2.2069,0.1912,N
fitzsfr01,2.2515,0.2183,N
vandejo01,1.7932,0.1518,N
bushgu01,1.6324,0.1048,N
coopemo01,2.2020,0.1684,N
fonsele01,3.6329,0.5528,N
kellyge01,3.6948,0.5049,N
schumha02,1.9911,0.2222,N
tobinji01,2.0101,0.2045,N
altroni01,2.3913,0.2261,N
chandsp01,2.5972,0.2512,N
dinnebi01,2.7410,0.2374,N
dykesji01,3.5259,0.4855,N
hallabi01,1.6982,0.1311,N
jonessa01,1.7433,0.2118,N
luquedo01,1.8658,0.1717,N
quinnja01,1.7497,0.1167,N
reynoal01,1.8042,0.1179,N
schacal01,0.9623,0.1698,N
sherdbi01,1.7486,0.1749,N
turneji01,1.6765,0.1345,N
uhlege01,1.8837,0.2382,N
whiteea01,2.3558,0.1953,N
ruffire01,2.1961,0.2347,N
ricesa01,3.8557,0.6298,N
gomezle01,2.4565,0.1603,N
grimebu01,2.4288,0.2484,N
faberre01,1.8940,0.1463,N
martipe01,3.4626,0.6341,N
hoytwa01,1.9095,0.1424,N
vandejo01,1.7932,0.1518,N
covelst01,2.3459,0.1552,N
waltebu01,2.7497,0.3175,N
rixeyep01,2.1931,0.1369,N
odoulle01,3.3649,0.6433,N
dykesji01,3.5259,0.4855,N
haineje01,2.0071,0.1357,N
altroni01,2.3913,0.2261,N
fitzsfr01,2.2515,0.2183,N
derripa01,2.1762,0.1209,N
luquedo01,1.8658,0.1717,N
nehfar01,1.9720,0.1940,N
moorete01,3.6210,0.5539,N
rowesc01,1.8513,0.2363,N
bridgto01,2.3656,0.1958,N
ferrewe01,2.1460,0.3193,N
quinnja01,1.7497,0.1167,N
ehmkeho01,2.3520,0.1655,N
rommeed01,1.6292,0.1578,N
hardeme01,2.0599,0.1524,N
maysca01,2.1614,0.2251,N
rootch01,1.7184,0.1361,N
bushjo01,2.1325,0.2203,N
groveor01,1.8019,0.1111,N
marbefi01,1.2123,0.1089,N
shockur01,1.9369,0.2160,N
uhlege01,1.8837,0.2382,N
coopemo01,2.2020,0.1684,N
doakbi01,1.9978,0.0883,N
fonsele01,3.6329,0.5528,N
cramedo01,4.0822,0.6061,N
kellyge01,3.6948,0.5049,N
kremera01,2.2233,0.1845,N
meadole01,2.2430,0.1606,N
mungova01,1.9195,0.1366,N
sherdbi01,1.7486,0.1749,N
warnelo01,2.0959,0.1895,N
whiteea01,2.3558,0.1953,N
bentola01,1.5974,0.1169,N
crowdal01,2.1017,0.1638,N
daviscu01,1.8107,0.1559,N
ellioju01,1.6443,0.1028,N
hallabi01,1.6982,0.1311,N
kressre01,3.6571,0.4968,N
lucasre01,1.5865,0.1709,N
pearsmo01,2.2800,0.2578,N
schumha02,1.9911,0.2222,N
scottja01,1.6667,0.1642,N
sewelri01,1.7730,0.1915,N
spahnwa01,2.3908,0.1801,N
walberu01,1.6545,0.1426,N
wyattwh01,1.6585,0.1448,N
zachato01,2.0549,0.1447,N
ricesa01,3.8557,0.6298,N
rixeyep01,2.1931,0.1369,N
grimebu01,2.4288,0.2484,N
ruffire01,2.1961,0.2347,N
faberre01,1.8940,0.1463,N
gomezle01,2.4565,0.1603,N
odoulle01,3.3649,0.6433,N
vandejo01,1.7932,0.1518,N
hoytwa01,1.9095,0.1424,N
martipe01,3.4626,0.6341,N
dykesji01,3.5259,0.4855,N
reynoal01,1.8042,0.1179,N
haineje01,2.0071,0.1357,N
waltebu01,2.7497,0.3175,N
altroni01,2.3913,0.2261,N
